word,cosine_similarity_R_vs_D,semantic_shift,left_count,right_count
george,0.7982435,0.20175648,2954,30248
trans,0.79827404,0.20172596,2235,29178
impeach,0.79829025,0.20170975,2175,12518
agenda,0.7985573,0.20144272,5142,48193
syria,0.798797,0.20120299,1204,10332
gerrymandering,0.7988626,0.20113742,3003,3651
corrupt,0.7990689,0.20093107,3562,41201
allies,0.799345,0.20065498,1936,15876
reality,0.79965734,0.20034266,9357,76842
flags,0.7998107,0.20018929,1181,11421
outrage,0.79981357,0.20018643,1479,17923
proud,0.7999681,0.20003188,3040,27062
hospitals,0.80001473,0.19998527,1147,20852
hate,0.80011755,0.19988245,18818,171791
legislature,0.8002399,0.19976008,1779,11236
leadership,0.8005293,0.1994707,4147,27913
administration,0.80086184,0.19913816,8754,71767
truth,0.8009106,0.19908941,9249,86475
reelected,0.8017019,0.1982981,1414,8208
dictator,0.8018302,0.19816983,1945,10633
conflict,0.8024598,0.19754022,1552,17801
free,0.80266,0.19734001,19881,225467
ignorance,0.80268586,0.19731414,2751,17656
idiot,0.8026949,0.19730508,5410,42635
illegal,0.80310243,0.19689757,8997,122596
washington,0.80344844,0.19655156,4007,31505
controlled,0.80347955,0.19652045,2085,21346
army,0.8036636,0.19633639,1805,19501
cop,0.8036692,0.19633079,1502,28775
narrative,0.8037463,0.19625372,3782,63894
taxing,0.80377316,0.19622684,677,5892
afghanistan,0.80405974,0.19594026,1915,20489
victim,0.8042854,0.1957146,2039,29595
cabinet,0.8046466,0.19535339,1347,6753
virus,0.8046699,0.19533008,2806,84045
children,0.80475557,0.19524443,10827,138152
china,0.80477554,0.19522446,4625,140006
libertarian,0.8051783,0.19482172,3881,29699
leaders,0.8055228,0.1944772,4352,35137
citizens,0.8055738,0.19442618,8341,87246
defend,0.8057366,0.1942634,4753,49511
ubi,0.8057885,0.19421148,857,5859
calling,0.80591995,0.19408005,9729,93386
judges,0.8060434,0.19395661,3174,24234
hatred,0.8062985,0.1937015,2310,15960
nazis,0.8064632,0.19353682,3496,31553
criminals,0.8070061,0.19299388,2844,33486
vaccine,0.8070916,0.1929084,3178,99452
lawsuit,0.80716455,0.19283545,1090,12333
democracy,0.80727744,0.19272256,12106,48804
politicians,0.807418,0.19258201,8594,86539
killing,0.8074477,0.19255233,4422,52566
enemies,0.807791,0.192209,1795,16266
leaning,0.80792,0.19208002,2085,26221
politics,0.807941,0.19205898,16502,137551
theory,0.8081943,0.19180572,3640,43680
fed,0.8082684,0.19173157,1988,21167
science,0.80842686,0.19157314,4648,70322
criticism,0.8087346,0.1912654,2334,16342
lies,0.80919063,0.19080937,8542,50801
enforcement,0.80927694,0.19072306,2570,26437
vaccinated,0.80931664,0.19068336,1892,40100
corruption,0.8094054,0.19059461,3757,30328
pardon,0.8096545,0.19034553,1599,6575
americans,0.8099574,0.19004261,17539,135693
lawyers,0.8102094,0.1897906,1777,15344
blacks,0.81023777,0.18976223,2145,17657
retirement,0.81055456,0.18944544,1270,9279
unconstitutional,0.8108489,0.18915111,1393,18671
taxpayers,0.81086415,0.18913585,876,11691
sanctions,0.810938,0.189062,1100,9543
proven,0.8112648,0.18873519,3147,36413
bankrupt,0.8112742,0.18872583,1085,7870
enemy,0.81129396,0.18870604,2966,27426
gender,0.81140745,0.18859255,2915,52882
represent,0.8114443,0.18855572,3232,22478
global,0.8115866,0.18841338,3273,38984
allegations,0.8116312,0.1883688,971,12757
mitch,0.81184834,0.18815166,3671,12747
united,0.8120587,0.18794131,9810,68998
domestic,0.8121654,0.18783462,2505,23888
ukraine,0.8123398,0.18766022,2538,49403
capitalism,0.81251603,0.18748397,2669,38211
disagree,0.8126332,0.18736678,8697,86860
fighting,0.81279933,0.18720067,5278,44081
innocent,0.8130847,0.18691528,2834,36523
coup,0.81323725,0.18676275,2104,6731
mass,0.8134533,0.18654668,5156,46417
mueller,0.81347644,0.18652356,2674,14509
politically,0.8137346,0.18626541,3147,28229
constitutional,0.81374884,0.18625116,3596,36316
duty,0.81377935,0.18622065,1805,15942
minority,0.81428546,0.18571454,5763,41819
fox,0.8145258,0.18547422,13061,56136
choice,0.8146415,0.18535852,8886,77474
republic,0.8147892,0.18521082,1925,20031
electorate,0.8150047,0.1849953,1431,5205
rules,0.8152168,0.18478322,16293,70312
regulation,0.8152259,0.1847741,2113,17244
students,0.81544966,0.18455034,2776,46791
wall,0.81578493,0.18421507,7546,47393
allowed,0.8157963,0.18420368,8313,96753
scientific,0.81583464,0.18416536,1319,21179
fight,0.81593555,0.18406445,10137,78813
attack,0.8160037,0.18399632,8294,67319
statement,0.8163608,0.18363923,6710,72588
president,0.81639004,0.18360996,45816,290950
capital,0.8167678,0.18323219,3008,24851
romney,0.81689435,0.18310565,3739,45315
politician,0.8168961,0.18310392,4315,35733
shooter,0.81694555,0.18305445,1306,11989
partisan,0.81702787,0.18297213,2932,22125
representatives,0.81703365,0.18296635,3054,14313
faith,0.81709445,0.18290555,4294,37292
wins,0.8171705,0.1828295,5247,34226
treason,0.81747866,0.18252134,2335,11230
authority,0.8177108,0.18228918,2727,30970
opinion,0.8178263,0.18217373,11678,120390
fraud,0.8190123,0.18098772,6072,85408
mccain,0.81911606,0.18088394,2154,17468
loan,0.8191505,0.1808495,2220,18237
principles,0.8192005,0.18079948,1736,21675
fair,0.8197785,0.1802215,10001,97476
obamas,0.82006973,0.17993027,4483,30447
racial,0.82022417,0.17977583,2234,30334
officers,0.8204693,0.17953068,1764,32827
officials,0.82052195,0.17947805,3639,29809
states,0.82079387,0.17920613,36676,273009
hitler,0.8210025,0.17899752,2822,26345
criminal,0.82138914,0.17861086,6987,47485
delegates,0.82145905,0.17854095,2632,8715
outlets,0.8214635,0.17853647,1274,15986
values,0.8215313,0.1784687,4582,48673
obamacare,0.82158196,0.17841804,3060,20940
supreme,0.82158494,0.17841506,8263,50304
media,0.8219352,0.17806482,17315,298202
th,0.8220388,0.17796117,7448,72676
officer,0.82208014,0.17791986,1644,28503
destroy,0.8221488,0.1778512,3598,40178
immigrants,0.8225997,0.17740029,4237,48269
counties,0.8226863,0.17731369,1154,14750
career,0.8229072,0.17709279,2565,30945
donors,0.82291573,0.17708427,1902,6365
aca,0.8232614,0.17673862,3572,9433
supporter,0.82337844,0.17662156,3882,20199
