word,"shift score time: 1-9, 2009-2018","shift score time: 10-14, 2018-2023",shift_B-A
controlled,0.2145691514015197,0.22967386,0.015104708598480315
citizen,0.1538942456245422,0.16840196,0.01450771437545778
bombing,0.2557525634765625,0.2694816,0.013729036523437488
homosexuality,0.2538275718688965,0.26738447,0.0135568981311035
hamas,0.2637198567390442,0.27705634,0.013336483260955823
news,0.134821355342865,0.14796376,0.01314240465713501
poverty,0.1576493382453918,0.17078924,0.013139901754608219
latinos,0.3387515544891357,0.35170972,0.012958165510864317
activists,0.3242056369781494,0.33696526,0.012759623021850575
affiliation,0.3053963780403137,0.31814623,0.012749851959686254
assault,0.1981395483016967,0.21075827,0.012618721698303303
shot,0.1451750993728637,0.15737021,0.012195110627136324
polls,0.1202952861785888,0.13242877,0.012133483821411203
minorities,0.2213000059127807,0.2332995,0.011999494087219287
protections,0.2750970125198364,0.28702843,0.011931417480163575
castro,0.3101722002029419,0.3219443,0.011772099797058122
socialism,0.2542333006858825,0.2659889,0.01175559931411746
winning,0.1308133006095886,0.14250636,0.011693059390411403
overturn,0.2287496924400329,0.23964149,0.010891797559967109
domestic,0.2076755762100219,0.21852446,0.010848883789978114
brigade,0.3618719577789306,0.37254465,0.010672692221069369
abortion,0.1561810374259948,0.16675752,0.010576482574005203
msm,0.30246102809906,0.31289387,0.010432841900940015
hypocrite,0.32220059633255,0.33251405,0.010313453667450012
whites,0.232023537158966,0.24208796,0.010064422841033982
right,0.2089098691940307,0.21875209,0.009842220805969304
disagree,0.1639436483383178,0.17371237,0.009768721661682217
evidence,0.1051459312438964,0.11440486,0.009258928756103596
reid,0.3027480840682983,0.31182015,0.009072065931701734
invade,0.2421098351478576,0.25115013,0.009040294852142416
ban,0.1742688417434692,0.18323731,0.008968468256530776
fair,0.1495177745819091,0.1584028,0.008885025418090914
guns,0.1192255616188049,0.12809074,0.008865178381195105
unconstitutional,0.2331753969192505,0.24195755,0.008782153080749505
recession,0.1745216250419616,0.18260819,0.008086564958038417
principles,0.1929627656936645,0.20076919,0.007806424306335491
impeached,0.2313764691352844,0.23858863,0.0072121608647156
filibuster,0.1898156404495239,0.19618797,0.006372329550476091
russian,0.1826416254043579,0.18887019,0.006228564595642083
jews,0.250227689743042,0.2563429,0.0061152102569579925
hypocrisy,0.2290331125259399,0.23450786,0.005474747474060099
speech,0.1489597558975219,0.15435082,0.00539106410247811
fetus,0.1591215133666992,0.16419256,0.005071046633300796
labor,0.1499987840652465,0.15464807,0.0046492859347535
controversial,0.3083512783050537,0.31273085,0.004379571694946294
declaration,0.2490683794021606,0.25316674,0.004098360597839412
freedoms,0.2275384068489074,0.23156923,0.0040308231510926
soldiers,0.219936728477478,0.22394228,0.004005551522521994
supporter,0.205903947353363,0.20977402,0.003870072646636996
rnc,0.3137366771697998,0.31759024,0.003853562830200219
abortions,0.1451596021652221,0.1489687,0.003809097834777897
represent,0.2074923515319824,0.2111724,0.003680048468017616
turnout,0.1556837558746338,0.15935689,0.003673134125366212
welfare,0.1603341102600097,0.16395867,0.0036245597399902907
feds,0.3214723467826843,0.32504904,0.003576693217315685
illegally,0.2317037582397461,0.23518527,0.003481511760253908
wins,0.1748972535133361,0.17823446,0.003337206486663913
legal,0.1421252489089965,0.14505816,0.002932911091003493
biased,0.238211989402771,0.24092305,0.0027110605972290036
kill,0.1569459438323974,0.15963435,0.0026884061676026028
arabia,0.2331414222717285,0.23562509,0.0024836677282715214
western,0.2262246012687683,0.2286942,0.002469598731231676
climate,0.1880714297294616,0.19046938,0.002397950270538407
citizens,0.1800673007965088,0.18237889,0.002311589203491199
giuliani,0.3349086046218872,0.33717853,0.0022699253781127693
communists,0.3136003017425537,0.31553948,0.0019391782574462724
press,0.1644250750541687,0.166327,0.0019019249458313015
unvaccinated,0.233185589313507,0.23500073,0.0018151406864929942
agree,0.1581228971481323,0.15963,0.0015071028518676977
kamala,0.2913619875907898,0.29285407,0.001492082409210227
gun,0.0968503355979919,0.097994685,0.0011443494020080963
cia,0.2676305770874023,0.26868057,0.0010499929125977192
insurrection,0.2522339820861816,0.2532767,0.0010427179138184361
care,0.1391441226005554,0.14003855,0.0008944273994446195
illegals,0.2704473733901977,0.27124506,0.0007976866098022839
joe,0.2609306573867798,0.26172292,0.0007922626132202404
minority,0.2063875198364257,0.20708227,0.0006947501635743147
homicide,0.2496445178985595,0.25023854,0.0005940221014405223
disproportionately,0.2527166604995727,0.25296122,0.00024455950042728825
democrats,0.2641547918319702,0.26423728,8.248816802980397e-05
colleges,0.2354261875152588,0.23542869,2.502484741206956e-06
economy,0.1039535999298095,0.103672385,-0.00028121492980949514
laws,0.1190496087074279,0.11874366,-0.0003059487074278944
genocide,0.26468026638031,0.26409006,-0.0005902063803099877
